Проект,,Видео плеер,
Дата,,10.11.2024,
Тестировщик,,Васин К.,
Предусловия,,Открыт сайт https://youtube.com,
Окружение,,Prod,
Вид тестрования,,Smoke,
Номер,Проверки,Статус,Комментарий
1,Плеер отображается при переходе по ссылке на видео,,
2,"Видео проигрывается при нажатии на кнопку ""PLAY""",,
3,Видео перематывается  вперед/назад,,
4,Громкость увеличивается при использовании ползунка громкости,,
5,Громкость уменьшается при использовании ползунка громкости,,
6,Кнопка отключения звука работает корректно(звук отключается и включается),,
7,"Видео останавливается при нажатии кнопки ""Пауза""",,
8,"Видео продолжает воспроизведение с места остановки при повторном нажатии кнопки ""PLAY""",,
9,Кнопка полноэкранного режима плеера работает корректно(вход в полноэкранный режим/выход),,
10,Плеер отображает тайм-код видео,,
11,Видео добавляется в плейлист,,
12,"Функция автовоспроизведения работает с помощью переключателя на странице видео(новое видео воспроизводится автоматически, после того как закончится первое)",,
13,"Субтитры доступны/нет, включение/выключение",,